"Book","Author","Date","List 1","List 2","List 3","List 4","List 5","Gender","Nationality/ Ethnicity","Connectivity","",""
"stranger in a strange land","Robert Heinlein","1961.0","0.0","16.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the door into summer","Robert Heinlein","1956.0","0.0","72.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the moon is a harsh mistress","Robert Heinlein","1966.0","0.0","15.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the puppet masters","Robert Heinlein","1951.0","0.0","83.0","0.0","0.0","0.0","Male","European American","1.0","",""
"mythago wood","Robert Holdstock","1984.0","0.0","97.0","0.0","0.0","0.0","Male","British","1.0","",""
"the bridges of madison county","Robert James Waller","1993.0","0.0","0.0","0.0","0.0","76.0","Male","European American","1.0","",""
"the matarese circle","Robert Ludlum","1979.0","0.0","0.0","0.0","0.0","62.0","Male","European American","1.0","",""
"all the king's men","Robert Penn Warren","1946.0","36.0","0.0","38.0","0.0","0.0","Male","European American","2.0","",""
"zen and the art of motorcycle maintenance","Robert Pirsig","1974.0","0.0","73.0","0.0","0.0","0.0","Male","European American","1.0","",""
"fifth business","Robertson Davies","1970.0","0.0","40.0","0.0","0.0","0.0","Male","European Canadian","1.0","",""
"the cunning man","Robertson Davies","1994.0","0.0","99.0","0.0","0.0","0.0","Male","European Canadian","1.0","",""
"up","Ronald Sukenick","1968.0","0.0","0.0","0.0","85.0","0.0","Male","European Canadian","1.0","",""
"kim","Rudyard Kipling","1901.0","78.0","0.0","95.0","0.0","0.0","Male","British","2.0","",""
"riddley walker","Russell Hoban","1982.0","0.0","0.0","0.0","66.0","0.0","Male","European American","1.0","",""
"the miracle of the bells","Russell Janney","1947.0","0.0","0.0","0.0","0.0","32.0","Male","European American","1.0","",""
"midnight's children","Salman Rushdie","1981.0","90.0","0.0","100.0","41.0","0.0","Male","British Indian","3.0","",""
"the satanic verses","Salman Rushdie","1988.0","0.0","100.0","55.0","0.0","0.0","Male","British Indian","2.0","",""
"trilogy: molloy, malone dies, the unnamable","Samuel Beckett","1956.0","0.0","0.0","0.0","6.0","0.0","Male","Irish","1.0","",""
"the way of all flesh","Samuel Butler","1903.0","12.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"dhalgren","Samuel R. Delany","1975.0","0.0","0.0","0.0","33.0","0.0","Male","British","1.0","",""
"hogg","Samuel R. Delany","1996.0","0.0","0.0","0.0","100.0","0.0","Male","African American","1.0","",""
"henderson the rain king","Saul Bellow","1959.0","21.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the adventures of augie march","Saul Bellow","1953.0","81.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"winesburg, ohio","Sherwood Anderson","1919.0","24.0","0.0","0.0","87.0","0.0","Male","European American","2.0","",""
"the haunting of hill house","Shirley Jackson","1959.0","0.0","66.0","0.0","0.0","0.0","Female","European American","1.0","",""
"arrowsmith","Sinclair Lewis","1925.0","0.0","78.0","0.0","0.0","0.0","Male","European American","1.0","",""
"babbitt","Sinclair Lewis","1922.0","0.0","0.0","94.0","0.0","0.0","Male","European American","1.0","",""
"elmer gantry","Sinclair Lewis","1927.0","0.0","0.0","0.0","0.0","15.0","Male","European American","1.0","",""
"main street","Sinclair Lewis","1921.0","68.0","0.0","99.0","0.0","9.0","Male","European American","3.0","",""
"the franchiser","Stanley Elkin","1976.0","0.0","0.0","0.0","68.0","0.0","Male","European American","1.0","",""
"dolores clairborne","Stephen King","1992.0","0.0","0.0","0.0","0.0","75.0","Male","European American","1.0","",""
"it","Stephen King","1986.0","0.0","84.0","0.0","0.0","69.0","Male","European American","2.0","",""
"the stand","Stephen King","1978.0","0.0","29.0","0.0","0.0","0.0","Male","European American","1.0","",""
"the tommyknockers","Stephen King","1987.0","0.0","0.0","0.0","0.0","70.0","Male","European American","1.0","",""
"the talisman","Stephen King and Peter Straub","1984.0","0.0","0.0","0.0","0.0","67.0","Male","European American","1.0","",""
"going native","Stephen Wright","1994.0","0.0","0.0","0.0","13.0","0.0","Male","European American","1.0","",""
"tours of the black clock","Steve Erickson","1989.0","0.0","0.0","0.0","98.0","0.0","Male","European American","1.0","",""
"creamy & delicious","Steve Katz","1971.0","0.0","0.0","0.0","91.0","0.0","Male","European American","1.0","",""
"the girl who kicked the hornets nest","Stieg Larsson","2010.0","0.0","0.0","0.0","0.0","92.0","Male","Swedish","1.0","",""
"easy travels to other planets","Ted Mooney","1981.0","0.0","0.0","0.0","97.0","0.0","Male","European American","1.0","",""
"the wood wife","Terri Windling","1996.0","0.0","70.0","0.0","0.0","0.0","Female","European American","1.0","",""
"an american tragedy","Theodore Dreiser","1925.0","16.0","0.0","88.0","96.0","0.0","Male","European American","3.0","",""
"sister carrie","Theodore Dreiser","1900.0","33.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"more than human","Theodore Sturgeon","1951.0","0.0","0.0","0.0","93.0","0.0","Male","European American","1.0","",""
"the silver chalice","Thomas B. Costain","1952.0","0.0","0.0","0.0","0.0","37.0","Male","European Canadian","1.0","",""
"schindler's list","Thomas Keneally","1982.0","0.0","0.0","41.0","0.0","0.0","Male","Austrailian","1.0","",""
"gravity's rainbow","Thomas Pynchon","1973.0","0.0","21.0","0.0","3.0","0.0","Male","European American","2.0","",""
"v.","Thomas Pynchon","1963.0","0.0","85.0","0.0","0.0","0.0","Male","European American","1.0","",""
"bonfire of the vanities","Thomas Wolfe","1987.0","0.0","0.0","65.0","0.0","0.0","Male","European American","1.0","",""
"look homeward, angel","Thomas Wolfe","1928.0","0.0","0.0","76.0","95.0","0.0","Male","European American","2.0","",""
"the bridge of san luis rey","Thornton Wilder","1928.0","37.0","0.0","0.0","0.0","16.0","Male","European American","2.0","",""
"clear and present danger","Tom Clancy","1989.0","0.0","0.0","0.0","0.0","72.0","Male","European American","1.0","",""
"the cardinal of the kremlin","Tom Clancy","1988.0","0.0","0.0","0.0","0.0","71.0","Male","European American","1.0","",""
"the hunt for red october","Tom Clancy","1990.0","0.0","81.0","0.0","0.0","0.0","Male","European American","1.0","",""
"skinny legs and all","Tom Robbins","1987.0","0.0","0.0","0.0","70.0","0.0","Male","European American","1.0","",""
"beloved","Toni Morrison","1986.0","0.0","31.0","7.0","12.0","0.0","Female","African American","3.0","",""
"jazz","Toni Morrison","1992.0","0.0","0.0","56.0","0.0","0.0","Female","African American","1.0","",""
"song of solomon","Toni Morrison","1977.0","0.0","0.0","25.0","0.0","0.0","Female","African American","1.0","",""
"in cold blood","Truman Capote","1966.0","0.0","0.0","53.0","0.0","0.0","Male","European American","1.0","",""
"the jungle","Upton Sinclair","1906.0","0.0","0.0","45.0","0.0","0.0","Male","European American","1.0","",""
"always coming home","Ursula K. Le Guin","1985.0","0.0","0.0","0.0","57.0","0.0","Female","European American","1.0","",""
"a bend in the river","V.S. Naipaul","1979.0","83.0","0.0","0.0","0.0","0.0","Male","Caribbean British","1.0","",""
"a house for mr biswas","V.S. Naipaul","1961.0","72.0","0.0","0.0","0.0","0.0","Male","Caribbean British","1.0","",""
"the four horsemen of the apocalypse","Vicente Blasco Ibanez","1919.0","0.0","0.0","0.0","0.0","7.0","Male","Spanish","1.0","",""
"mrs. dalloway","Virginia Woolf","1925.0","0.0","0.0","46.0","0.0","0.0","Female","British","1.0","",""
"orlando","Virginia Woolf","1928.0","0.0","0.0","63.0","0.0","0.0","Female","British","1.0","",""
"to the lighthouse","Virginia Woolf","1927.0","15.0","48.0","34.0","15.0","0.0","Female","British","4.0","",""
"lolita","Vladimir Nabokov","1955.0","4.0","34.0","11.0","9.0","0.0","Male","European American","4.0","",""
"pale fire","Vladimir Nabokov","1962.0","53.0","0.0","0.0","1.0","0.0","Male","European American","2.0","",""
"of human bondage","W. Somerset Maugham","1915.0","66.0","37.0","0.0","0.0","0.0","Male","British","2.0","",""
"the moviegoer","Walker Percy","1961.0","60.0","49.0","0.0","0.0","0.0","Male","European American","2.0","",""
"angle of repose","Wallace Stegner","1971.0","82.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"death comes for the archbishop","Willa Cather","1927.0","61.0","0.0","89.0","0.0","0.0","Female","European American","2.0","",""
"my antonia","Willa Cather","1918.0","0.0","94.0","51.0","0.0","0.0","Female","European American","2.0","",""
"o pioneers!","Willa Cather","1913.0","0.0","0.0","83.0","0.0","0.0","Female","European American","1.0","",""
"don't go near the water","William Brinkley","1956.0","0.0","0.0","0.0","0.0","40.0","Male","European American","1.0","",""
"go in beauty","William Eastlake","1956.0","0.0","0.0","0.0","67.0","0.0","Male","European American","1.0","",""
"absalom, absalom!","William Faulkner","1936.0","0.0","36.0","58.0","32.0","0.0","Male","European American","3.0","",""
"as i lay dying","William Faulkner","1930.0","35.0","67.0","19.0","0.0","0.0","Male","European American","3.0","",""
"light in august","William Faulkner","1932.0","54.0","89.0","68.0","0.0","0.0","Male","European American","3.0","",""
"the sound and the fury","William Faulkner","1929.0","6.0","33.0","10.0","5.0","0.0","Male","European American","4.0","",""
"jr","William Gaddis","1975.0","0.0","0.0","0.0","17.0","0.0","Male","European American","1.0","",""
"the recognitions","William Gaddis","1955.0","0.0","61.0","0.0","27.0","0.0","Male","European American","2.0","",""
"cyberspace trilogy: neuromancer, count zero, mona lisa overdrive","William Gibson","1986.0","0.0","0.0","0.0","36.0","0.0","Male","European Canadian","1.0","",""
"the lord of the flies","William Golding","1954.0","41.0","25.0","8.0","0.0","0.0","Male","British","3.0","",""
"in the heart of the heart of the country","William H. Gass","1968.0","0.0","0.0","0.0","16.0","0.0","Male","European American","1.0","",""
"omensetter's luck","William H. Gass","1966.0","0.0","0.0","0.0","82.0","0.0","Male","European American","1.0","",""
"the tunnel","William H. Gass","1995.0","0.0","0.0","0.0","81.0","0.0","Male","European American","1.0","",""
"ironweed","William Kennedy","1983.0","92.0","0.0","0.0","80.0","0.0","Male","European American","1.0","",""
"e.t., the extraterrestrial","William Kotzwinkle","1982.0","0.0","0.0","0.0","0.0","65.0","Male","European American","1.0","",""
"naked lunch","William S. Burroughs","1959.0","0.0","80.0","73.0","0.0","0.0","Male","European American","2.0","",""
"the nova trilogy: the soft machine, nova express, the ticket that exploded","William S. Burroughs","1964.0","0.0","0.0","0.0","8.0","0.0","Male","European American","1.0","",""
"sophie's choice","William Styron","1979.0","96.0","0.0","57.0","0.0","0.0","Male","European American","2.0","",""
"the rifles","William T. Vollmann","1993.0","0.0","0.0","0.0","26.0","0.0","Male","European American","1.0","",""
"you bright and risen angels","William T. Vollmann","1987.0","0.0","0.0","0.0","88.0","0.0","Male","European American","1.0","",""
"the inside of the cup","Winston Churchill    ","1913.0","0.0","0.0","0.0","0.0","1.0","Male","European American","1.0","",""
"the man of the forest","Zane Grey","1920.0","0.0","0.0","0.0","0.0","8.0","Male","European American","1.0","",""
"the u. p. trail","Zane Grey","1918.0","0.0","0.0","0.0","0.0","6.0","Male","European American","1.0","",""
"their eyes were watching god","Zora Neale Hurston","1937.0","0.0","0.0","23.0","31.0","0.0","Female","African American","2.0","",""
"the unnamable","samuel beckett","1953.0","0.0","0.0","0.0","6.0","0.0","Male","Irish","1.0","",""
"the soft machine","William S. Burroughs","1961.0","0.0","0.0","0.0","8.0","0.0","Male","European American","1.0","",""
"neuromancer","William Gibson","1984.0","0.0","0.0","0.0","36.0","0.0","Male","European American","1.0","",""
"molloy","Samuel Beckett","1955.0","0.0","0.0","0.0","6.0","0.0","Male","Irish","1.0","",""
"mona lisa overdrive","William Gibson","1988.0","0.0","0.0","0.0","36.0","0.0","Male","European American","1.0","",""
"the ticket that exploded","William S. Burroughs","1962.0","0.0","0.0","0.0","8.0","0.0","Male","European American","1.0","",""
