"Book","Author","Date","List 1","List 2","List 3","List 4","List 5","Gender","Nationality/ Ethnicity","Connectivity","",""
"fifty shades of grey","E. L. James","2012.0","0.0","0.0","0.0","0.0","94.0","Female","British","1.0","",""
"charlotte's web","E.B. White","1952.0","0.0","0.0","13.0","0.0","0.0","Male","European American","1.0","",""
"a passage to india","E.M. Forster","1924.0","25.0","0.0","59.0","45.0","0.0","Male","British","3.0","",""
"a room with a view","E.M. Forster","1908.0","79.0","0.0","39.0","0.0","0.0","Male","British","2.0","",""
"howards end","E.M. Forster","1910.0","38.0","0.0","52.0","0.0","0.0","Male","British","2.0","",""
"where angels fear to tread","E.M. Forster","1905.0","0.0","0.0","98.0","0.0","0.0","Male","British","1.0","",""
"the worm ouroboros","E.R. Eddison","1922.0","0.0","32.0","0.0","0.0","0.0","Male","British","1.0","",""
"ethan frome","Edith Wharton","1911.0","0.0","0.0","60.0","0.0","0.0","Female","European American","1.0","",""
"the age of innocence","Edith Wharton","1920.0","58.0","0.0","42.0","0.0","0.0","Female","European American","2.0","",""
"the house of mirth","Edith Wharton","1905.0","69.0","0.0","0.0","65.0","0.0","Female","European American","2.0","",""
"cimarron","Edna Ferber","1930.0","0.0","0.0","0.0","0.0","18.0","Female","European American","1.0","",""
"so big","Edna Ferber","1924.0","0.0","0.0","0.0","0.0","12.0","Female","European American","1.0","",""
"the arrangement","Elia Kazan","1967.0","0.0","0.0","0.0","0.0","51.0","Male","European American","1.0","",""
"the death of the heart","Elizabeth Bowen","1938.0","84.0","0.0","0.0","0.0","0.0","Female","Irish","1.0","",""
"all quiet on the western front","Erich Maria Remarque","1929.0","0.0","0.0","0.0","0.0","17.0","Male","German","1.0","",""
"love story","Erich Segal","1970.0","0.0","0.0","0.0","0.0","54.0","Male","European American","1.0","",""
"a farewell to arms","Ernest Hemingway","1929.0","74.0","91.0","20.0","0.0","0.0","Male","European American","3.0","",""
"for whom the bell tolls","Ernest Hemingway","1940.0","0.0","0.0","30.0","0.0","0.0","Male","European American","1.0","",""
"in our time","Ernest Hemingway","1925.0","0.0","0.0","77.0","0.0","0.0","Male","European American","1.0","",""
"the old man and the sea","Ernest Hemingway","1951.0","0.0","0.0","32.0","0.0","0.0","Male","European American","1.0","",""
"the sun also rises","Ernest Hemingway","1926.0","45.0","63.0","18.0","20.0","0.0","Male","European American","4.0","",""
"tobacco road","Erskine Caldwell","1932.0","91.0","0.0","0.0","0.0","0.0","Male","European American","1.0","",""
"a handful of dust","Evelyn Waugh","1934.0","34.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"brideshead revisited","Evelyn Waugh","1945.0","80.0","88.0","74.0","0.0","0.0","Male","British","3.0","",""
"scoop","Evelyn Waugh","1938.0","75.0","0.0","0.0","0.0","0.0","Male","British","1.0","",""
"tender is the night","F. Scott Fitzgerald","1934.0","28.0","0.0","62.0","0.0","0.0","Male","European American","2.0","",""
"the beautiful and the damned","F. Scott Fitzgerald","1922.0","0.0","0.0","96.0","0.0","0.0","Male","European American","1.0","",""
"the great gatsby","F. Scott Fitzgerald","1925.0","2.0","13.0","1.0","22.0","0.0","Male","European American","4.0","",""
"this side of paradise","F. Scott Fitzgerald","1920.0","0.0","0.0","91.0","0.0","0.0","Male","European American","1.0","",""
